Ticket ID,Department,Issue Type,Support Staff Experience Level,Experience Years,Urgency Level,Time to Complete Repair (hrs),Success Rate (%),Resolution Time (hrs),Ticket Status
IT-1122,Sales,Hardware Repair,Senior,9.5,Medium,0.5,85.89,4,Resolved
IT-1123,Sales,Network Issue,Senior,7.5,Low,2.41,56.11,11,Escalated
IT-1124,Finance,Software Troubleshooting,Mid-Level,3.4,High,0.7,63.46,2,Resolved
IT-1125,Finance,Hardware Repair,Senior,7.1,Medium,1.74,58.18,4,Resolved
IT-1126,Sales,Software Troubleshooting,Mid-Level,4.0,High,1.24,68.47,1,Escalated
IT-1127,Engineering,Asset Deployment,Junior,0.7,Low,1.25,62.28,13,Resolved
IT-1128,Engineering,Software Troubleshooting,Senior,11.5,High,0.5,90.4,2,Resolved
IT-1129,Engineering,Asset Deployment,Mid-Level,4.2,Medium,1.39,57.1,5,Resolved
IT-1130,Engineering,Hardware Repair,Junior,0.5,High,3.0,32.94,1,Escalated
IT-1131,Marketing,Network Issue,Junior,1.4,Medium,3.18,35.99,7,Escalated
IT-1132,Finance,Network Issue,Junior,0.4,Medium,3.81,36.6,5,Escalated
IT-1133,Engineering,Software Troubleshooting,Senior,11.8,Low,0.5,91.2,15,Resolved
IT-1134,Marketing,Asset Deployment,Senior,9.4,Medium,0.81,78.49,5,Resolved
IT-1135,Marketing,Asset Deployment,Junior,0.3,Low,1.59,57.35,8,Escalated
IT-1136,Finance,Hardware Repair,Senior,7.5,Medium,1.59,64.93,7,Resolved
IT-1137,HR,Asset Deployment,Junior,0.2,Low,1.33,55.07,8,Escalated
IT-1138,Engineering,Asset Deployment,Senior,9.2,Low,0.67,72.63,8,Resolved
IT-1139,HR,Cybersecurity,Junior,1.4,High,4.31,28.09,3,Resolved
IT-1140,Finance,Network Issue,Mid-Level,5.0,Low,2.72,51.18,13,Escalated
IT-1141,Finance,Network Issue,Junior,0.1,Low,3.43,44.56,14,Escalated
IT-1142,HR,Hardware Repair,Mid-Level,5.2,Medium,1.93,56.05,4,Resolved
IT-1143,Sales,Cybersecurity,Senior,8.2,Medium,1.75,72.56,6,Resolved
IT-1144,HR,Software Troubleshooting,Junior,1.6,Low,2.3,44.54,13,Escalated
IT-1145,HR,Cybersecurity,Junior,0.9,Low,4.48,25.25,13,Escalated
IT-1146,HR,Network Issue,Mid-Level,5.3,Medium,2.33,43.11,4,Resolved
IT-1147,HR,Network Issue,Junior,0.7,High,4.68,20.53,1,Resolved
IT-1148,Finance,Cybersecurity,Junior,0.6,Medium,3.83,26.66,5,Escalated
IT-1149,Marketing,Software Troubleshooting,Junior,0.2,Low,2.47,47.03,12,Escalated
IT-1150,Marketing,Network Issue,Mid-Level,5.2,Low,2.54,52.51,10,Resolved
IT-1151,HR,Software Troubleshooting,Junior,0.5,High,1.67,49.47,3,Escalated
IT-1152,HR,Cybersecurity,Mid-Level,4.9,High,3.41,33.16,1,Escalated
IT-1153,Engineering,Hardware Repair,Mid-Level,5.3,Low,1.52,67.51,15,Escalated
IT-1154,Engineering,Asset Deployment,Mid-Level,3.1,High,0.5,65.27,1,Escalated
IT-1155,Sales,Network Issue,Junior,1.7,Medium,3.82,40.05,5,Resolved
IT-1156,Finance,Network Issue,Junior,0.0,Medium,3.88,31.71,7,Escalated
IT-1157,Sales,Network Issue,Junior,0.2,Medium,3.94,36.88,6,Escalated
IT-1158,Finance,Asset Deployment,Mid-Level,5.0,Medium,1.55,63.5,7,Resolved
IT-1159,Engineering,Network Issue,Mid-Level,3.5,High,2.83,39.95,1,Escalated
IT-1160,Sales,Asset Deployment,Junior,1.5,Medium,1.27,60.53,6,Resolved
IT-1161,Marketing,Asset Deployment,Junior,1.1,High,0.98,65.36,1,Escalated
IT-1162,Engineering,Hardware Repair,Senior,10.2,Medium,1.34,66.85,7,Resolved
IT-1163,Marketing,Hardware Repair,Senior,7.1,Medium,2.17,58.95,5,Resolved
IT-1164,Sales,Software Troubleshooting,Mid-Level,5.8,Medium,1.0,70.64,7,Escalated
IT-1165,Marketing,Hardware Repair,Senior,9.4,Medium,0.83,86.92,7,Resolved
IT-1166,Engineering,Asset Deployment,Mid-Level,5.5,High,1.52,60.16,3,Resolved
IT-1167,Finance,Network Issue,Senior,12.0,High,0.5,73.51,3,Resolved
IT-1168,Engineering,Cybersecurity,Mid-Level,5.5,High,2.8,52.02,3,Resolved
IT-1169,Marketing,Network Issue,Senior,9.2,Medium,1.49,73.6,6,Resolved
IT-1170,HR,Software Troubleshooting,Mid-Level,3.9,Medium,2.06,51.25,7,Resolved
IT-1171,Marketing,Software Troubleshooting,Senior,8.8,Low,0.79,83.14,8,Resolved
IT-1172,Sales,Network Issue,Mid-Level,3.5,High,3.88,20.75,1,Resolved
IT-1173,Sales,Hardware Repair,Mid-Level,5.8,Medium,2.46,57.52,6,Resolved
IT-1174,Engineering,Software Troubleshooting,Mid-Level,3.7,High,0.76,69.39,2,Resolved
IT-1175,Sales,Asset Deployment,Senior,11.0,High,0.5,73.39,2,Resolved
IT-1176,Engineering,Cybersecurity,Mid-Level,5.9,Medium,3.48,51.41,4,Escalated
IT-1177,Marketing,Software Troubleshooting,Senior,10.7,Medium,0.5,83.07,5,Resolved
IT-1178,Marketing,Software Troubleshooting,Senior,8.6,Medium,0.5,79.52,4,Resolved
IT-1179,Finance,Network Issue,Senior,8.6,High,2.17,63.23,1,Resolved
IT-1180,Sales,Network Issue,Junior,1.8,Medium,4.37,36.22,5,Escalated
IT-1181,HR,Network Issue,Junior,1.4,Low,3.34,47.72,11,Escalated
IT-1182,HR,Software Troubleshooting,Junior,1.2,High,1.79,59.8,2,Escalated
IT-1183,Finance,Software Troubleshooting,Mid-Level,4.8,Medium,1.21,76.72,6,Resolved
IT-1184,Sales,Hardware Repair,Mid-Level,3.5,Medium,2.61,55.38,5,Resolved
IT-1185,Marketing,Asset Deployment,Junior,0.7,High,1.19,73.55,3,Resolved
IT-1186,Marketing,Cybersecurity,Mid-Level,3.1,Medium,3.84,28.42,5,Escalated
IT-1187,HR,Software Troubleshooting,Senior,10.1,Medium,1.09,79.77,4,Resolved
IT-1188,Finance,Hardware Repair,Mid-Level,4.3,Low,2.09,67.26,13,Resolved
IT-1189,HR,Software Troubleshooting,Senior,12.0,Medium,0.5,78.18,7,Escalated
IT-1190,Sales,Cybersecurity,Junior,0.3,High,5.15,15.15,2,Resolved
IT-1191,Sales,Software Troubleshooting,Junior,1.7,Low,0.95,64.03,15,Resolved
IT-1192,Marketing,Software Troubleshooting,Mid-Level,5.0,Medium,1.47,60.07,6,Resolved
IT-1193,Sales,Asset Deployment,Senior,9.9,High,0.5,88.73,3,Resolved
IT-1194,Engineering,Cybersecurity,Senior,7.8,Medium,1.35,70.77,4,Resolved
IT-1195,Sales,Cybersecurity,Senior,11.7,High,0.73,74.95,3,Resolved
IT-1196,Marketing,Software Troubleshooting,Senior,9.4,Medium,0.94,78.42,5,Resolved
IT-1197,Marketing,Cybersecurity,Mid-Level,3.1,High,3.35,41.46,3,Escalated
IT-1198,HR,Network Issue,Senior,7.2,Low,2.15,64.91,14,Resolved
IT-1199,Marketing,Software Troubleshooting,Mid-Level,4.0,High,0.93,66.9,2,Resolved
IT-1200,Marketing,Hardware Repair,Senior,11.8,Medium,0.78,78.61,6,Resolved
IT-1201,Engineering,Software Troubleshooting,Mid-Level,5.0,High,1.31,64.91,2,Escalated
IT-1202,Engineering,Network Issue,Senior,9.9,High,1.91,71.43,2,Resolved
IT-1203,Finance,Software Troubleshooting,Junior,0.2,Medium,2.48,44.27,6,Resolved
IT-1204,HR,Cybersecurity,Senior,10.3,Medium,2.02,66.27,6,Escalated
IT-1205,HR,Software Troubleshooting,Junior,0.2,Medium,1.89,51.51,6,Resolved
IT-1206,Marketing,Cybersecurity,Mid-Level,4.2,High,2.82,44.46,2,Escalated
IT-1207,Sales,Cybersecurity,Mid-Level,5.0,High,2.99,56.71,2,Escalated
IT-1208,Finance,Software Troubleshooting,Mid-Level,5.7,High,1.28,59.51,3,Resolved
IT-1209,Marketing,Asset Deployment,Senior,10.7,Low,0.52,92.26,15,Resolved
IT-1210,Finance,Asset Deployment,Mid-Level,5.7,High,0.98,68.41,1,Resolved
IT-1211,Marketing,Hardware Repair,Mid-Level,3.5,Medium,2.53,62.27,6,Resolved
IT-1212,Engineering,Cybersecurity,Mid-Level,3.9,High,4.46,31.31,2,Resolved
IT-1213,Sales,Asset Deployment,Senior,10.4,Medium,0.51,75.56,5,Resolved
IT-1214,HR,Cybersecurity,Junior,1.9,High,5.07,17.02,1,Escalated
IT-1215,Engineering,Cybersecurity,Mid-Level,4.8,High,3.42,40.58,1,Resolved
IT-1216,Finance,Cybersecurity,Mid-Level,4.1,High,3.72,37.24,3,Resolved
IT-1217,Marketing,Software Troubleshooting,Mid-Level,5.5,High,2.18,51.05,2,Resolved
IT-1218,HR,Asset Deployment,Senior,7.8,High,1.04,73.63,1,Resolved
IT-1219,Finance,Cybersecurity,Senior,8.2,High,2.55,49.67,1,Escalated
IT-1220,Sales,Hardware Repair,Junior,2.0,Medium,2.81,41.37,4,Escalated
IT-1221,Marketing,Software Troubleshooting,Mid-Level,3.0,Medium,2.12,51.2,5,Resolved
IT-1222,HR,Hardware Repair,Mid-Level,3.2,High,2.07,47.49,1,Escalated
IT-1223,Marketing,Network Issue,Junior,1.7,Medium,3.29,40.96,7,Escalated
IT-1224,Marketing,Network Issue,Mid-Level,3.7,High,2.33,49.59,2,Escalated
IT-1225,Marketing,Network Issue,Mid-Level,4.3,High,3.29,32.0,1,Escalated
IT-1226,Engineering,Hardware Repair,Mid-Level,3.6,Medium,1.82,58.21,7,Escalated
IT-1227,Finance,Asset Deployment,Junior,0.9,Low,0.95,61.54,11,Escalated
IT-1228,Engineering,Software Troubleshooting,Senior,9.7,Medium,0.74,84.9,7,Escalated
IT-1229,Finance,Hardware Repair,Junior,1.2,High,2.14,48.58,1,Escalated
IT-1230,HR,Software Troubleshooting,Junior,0.8,Medium,1.28,54.94,7,Resolved
IT-1231,Sales,Software Troubleshooting,Junior,1.2,Medium,2.26,49.56,7,Escalated
IT-1232,HR,Cybersecurity,Senior,9.5,Medium,2.28,51.56,7,Escalated
IT-1233,Finance,Asset Deployment,Junior,1.6,High,1.01,66.52,1,Resolved
IT-1234,Marketing,Network Issue,Mid-Level,3.7,Low,3.06,51.36,12,Escalated
IT-1235,HR,Asset Deployment,Senior,11.6,Medium,1.57,72.13,7,Escalated
IT-1236,Finance,Software Troubleshooting,Mid-Level,5.5,Medium,0.87,72.22,6,Resolved
IT-1237,Finance,Asset Deployment,Junior,1.6,Low,1.46,54.68,11,Escalated
IT-1238,Engineering,Asset Deployment,Senior,7.0,Medium,0.82,72.31,6,Escalated
IT-1239,Marketing,Cybersecurity,Senior,9.3,Low,1.97,66.08,10,Resolved
IT-1240,HR,Hardware Repair,Senior,10.9,Medium,0.5,80.36,7,Escalated
IT-1241,HR,Hardware Repair,Senior,11.1,Medium,0.5,88.06,6,Resolved
IT-1242,Engineering,Asset Deployment,Junior,1.8,Medium,0.64,65.48,5,Escalated
IT-1243,Sales,Hardware Repair,Mid-Level,5.3,Medium,1.93,58.66,5,Resolved
IT-1244,Sales,Cybersecurity,Senior,10.4,High,1.76,62.01,2,Escalated
IT-1245,Engineering,Hardware Repair,Senior,11.0,High,0.79,82.54,3,Escalated
IT-1246,Engineering,Hardware Repair,Mid-Level,3.3,Medium,1.74,57.9,7,Resolved
IT-1247,Marketing,Hardware Repair,Mid-Level,4.2,Low,2.9,49.85,8,Escalated
IT-1248,Engineering,Cybersecurity,Senior,11.7,High,1.26,74.81,1,Resolved
IT-1249,HR,Cybersecurity,Junior,0.8,Medium,3.98,30.15,7,Resolved
IT-1250,Sales,Network Issue,Senior,10.7,High,2.15,64.87,1,Resolved
IT-1251,Sales,Cybersecurity,Mid-Level,5.4,High,1.98,58.15,3,Escalated
IT-1252,Marketing,Asset Deployment,Mid-Level,5.4,Medium,0.5,65.11,7,Resolved
IT-1253,Engineering,Software Troubleshooting,Junior,0.0,Medium,2.5,41.22,6,Resolved
IT-1254,Engineering,Cybersecurity,Junior,0.5,Low,4.73,27.68,14,Escalated
IT-1255,Marketing,Asset Deployment,Senior,11.0,Medium,1.13,86.03,6,Resolved
IT-1256,Marketing,Network Issue,Junior,1.9,Medium,3.2,34.76,4,Escalated
IT-1257,Marketing,Network Issue,Junior,0.5,Low,3.76,35.61,9,Escalated
IT-1258,Marketing,Software Troubleshooting,Mid-Level,5.6,Medium,1.67,58.57,7,Escalated
IT-1259,Engineering,Network Issue,Mid-Level,5.0,Low,2.76,47.01,12,Escalated
IT-1260,Sales,Network Issue,Senior,7.5,Low,1.7,68.57,14,Escalated
IT-1261,Finance,Asset Deployment,Junior,1.5,Medium,2.5,52.88,5,Resolved
IT-1262,Finance,Software Troubleshooting,Senior,7.5,Medium,1.5,68.53,5,Escalated
IT-1263,Marketing,Cybersecurity,Senior,10.7,High,1.26,77.02,2,Resolved
IT-1264,HR,Cybersecurity,Senior,10.7,Medium,1.65,77.27,4,Resolved
IT-1265,Marketing,Cybersecurity,Junior,1.7,High,4.59,23.94,1,Escalated
IT-1266,Finance,Network Issue,Junior,0.7,Low,3.59,34.75,11,Escalated
IT-1267,Marketing,Software Troubleshooting,Mid-Level,4.9,High,1.01,70.42,2,Resolved
IT-1268,Sales,Network Issue,Mid-Level,3.0,Medium,2.44,56.91,6,Resolved
IT-1269,Sales,Asset Deployment,Mid-Level,4.9,Medium,1.07,64.03,7,Resolved
IT-1270,Marketing,Asset Deployment,Mid-Level,4.8,Medium,0.52,74.73,5,Resolved
IT-1271,Engineering,Cybersecurity,Mid-Level,5.5,High,2.01,58.9,1,Resolved
IT-1272,Engineering,Network Issue,Junior,0.4,Low,4.65,31.97,8,Escalated
IT-1273,Finance,Software Troubleshooting,Mid-Level,4.9,Medium,1.17,67.77,7,Escalated
IT-1274,Finance,Asset Deployment,Senior,11.8,Low,0.5,78.28,10,Resolved
IT-1275,HR,Software Troubleshooting,Junior,1.7,High,1.84,43.75,1,Escalated
IT-1276,Marketing,Network Issue,Senior,8.1,Medium,1.49,57.48,5,Resolved
IT-1277,Sales,Asset Deployment,Senior,7.7,Medium,0.83,72.64,7,Resolved
IT-1278,Engineering,Hardware Repair,Junior,0.1,Medium,2.75,40.94,7,Resolved
IT-1279,Engineering,Software Troubleshooting,Mid-Level,3.2,High,1.09,58.88,2,Resolved
IT-1280,HR,Network Issue,Junior,1.5,High,4.35,23.29,1,Resolved
IT-1281,Sales,Software Troubleshooting,Mid-Level,4.9,Medium,0.5,77.09,6,Escalated
IT-1282,Finance,Hardware Repair,Senior,7.1,Medium,1.7,65.27,4,Escalated
IT-1283,Engineering,Software Troubleshooting,Senior,10.9,Low,0.5,95.44,14,Resolved
IT-1284,Marketing,Hardware Repair,Junior,1.1,Medium,3.01,41.56,4,Resolved
IT-1285,Sales,Network Issue,Mid-Level,5.2,Medium,2.2,55.85,4,Resolved
IT-1286,Marketing,Cybersecurity,Mid-Level,5.6,Medium,2.99,50.19,5,Resolved
IT-1287,HR,Hardware Repair,Mid-Level,5.5,Medium,1.35,64.58,5,Resolved
IT-1288,Marketing,Hardware Repair,Junior,0.8,High,3.15,46.97,2,Escalated
IT-1289,Marketing,Cybersecurity,Junior,0.1,High,4.65,22.03,2,Escalated
IT-1290,Sales,Hardware Repair,Junior,1.0,Low,2.96,43.76,12,Escalated
IT-1291,HR,Asset Deployment,Mid-Level,6.0,Low,0.87,68.49,11,Escalated
IT-1292,Finance,Software Troubleshooting,Junior,0.7,High,0.8,57.18,1,Resolved
IT-1293,Sales,Cybersecurity,Senior,9.6,High,2.26,57.8,1,Resolved
IT-1294,Sales,Asset Deployment,Junior,0.4,Medium,1.48,60.65,7,Resolved
IT-1295,Sales,Cybersecurity,Mid-Level,5.6,Low,3.0,54.75,8,Resolved
IT-1296,Marketing,Network Issue,Senior,8.8,Medium,2.04,67.11,5,Resolved
IT-1297,Marketing,Network Issue,Senior,11.4,Low,0.97,87.33,14,Resolved
IT-1298,Sales,Hardware Repair,Senior,10.6,High,1.07,72.03,1,Resolved
IT-1299,Finance,Software Troubleshooting,Senior,8.9,High,1.06,72.0,1,Escalated
IT-1300,HR,Network Issue,Senior,9.3,Low,1.47,61.07,15,Escalated
IT-1301,Finance,Software Troubleshooting,Junior,1.7,High,1.65,52.85,1,Resolved
IT-1302,HR,Asset Deployment,Junior,1.2,Medium,2.35,40.39,5,Resolved
IT-1303,HR,Hardware Repair,Mid-Level,3.1,Medium,2.14,55.25,6,Escalated
